name_of_centre,postal_code,Latitude,Longitude
Blk 726 Clementi West Street 2,120726,1.30381073184127,103.764250748436
Blk 74 Toa Payoh Lorong 4,310074,1.3345507487214,103.852003509176
Blk 75 Toa Payoh Lorong 5,310075,1.336020767662,103.852956988062
Blk 79 Redhill Lane,150079,1.2878470282227,103.818349792057
Blk 79 Telok Blangah Drive,100079,1.27335599353959,103.807618129935
Blk 80 Circuit Road,370080,1.32783414615937,103.887102669236
Blk 82 Telok Blangah Drive,100082,1.27389076775628,103.807900337544
Blk 84 Marine Parade Central,440084,1.30228520968842,103.906288669909
Blk 85 Bedok North Street 4,460085,1.33200482399436,103.93876843919
Blk 85 Redhill Lane,150085,1.28730751501552,103.818311195307
Blk 89 Circuit Road,370089,1.32357971400582,103.885438842474
Blk 90 Whampoa Drive,320090,1.32306493801159,103.854996183556
Blk 93 Toa Payoh Lorong 4,310093,1.33847469611073,103.849513448853
Blks 13/14 Haig Road,430013,1.31510752106275,103.895587944619
Blks 160/162 Ang Mo Kio Ave 4,560160,1.37452773784115,103.839176060905
Blks 1A/ 2A/ 3A Commonwealth Drive,141001,1.29973071571151,103.797835538253
Blks 2 & 3 Changi Village Road,500002,1.3891516485857,103.988245247726
Blks 20/21 Marsiling Lane,730020,1.44344416787521,103.776989477833
Blks 221 A/B Boon Lay Place,641221,1.34522406568893,103.712800680774
Blks 22A/B Havelock Road,161022,1.28797051657173,103.829623413554
Blks 79/79A Circuit Road,370079,1.3265970672963,103.885052285736
Blks 91/92 Whampoa Drive,320091,1.32342818718207,103.854060197812
Chinatown Market,50335,1.2822749605271,103.843238518071
Chong Pang Market & Food Centre,760104,1.43144775158984,103.828537671885
Hong Lim Market & Food Centre,51531,1.28529907736773,103.845823802043
Kovan Market & Food Centre,530209,1.35908384091048,103.886055368064
Pek Kio Market & Food Centre,211041,1.31613128029458,103.850232935162
People's Park Food Centre,50032,1.28485860802646,103.842578771054
Tekka Market,210665,1.30617705352996,103.850611312978
